courseid,classname,units,subject
ENVE138,Combustion Engineering,4,Environmental Engineering
ENVE140,Aquatic Chemistry,4,Environmental Engineering
ENVE142,Water Quality Engineering,4,Environmental Engineering
ENVE144,Solid Waste Management,4,Environmental Engineering
ENVE145,Hazardous Waste Management,4,Environmental Engineering
ENVE146,Water Quality Systems Design,4,Environmental Engineering
ENVE160A,Chemical and Environmental Engineering Laboratory,3,Environmental Engineering
ENVE160B,Environmental Engineering Laboratory,3,Environmental Engineering
ENVE160C,Environmental Engineering Laboratory,3,Environmental Engineering
ENVE171,Fundamentals of Environmental Engineering,4,Environmental Engineering
ENVE175A,Senior Design Project,4,Environmental Engineering
ENVE175B,Senior Design Project,4,Environmental Engineering
ENVE190,Special Studies 1 to,5,Environmental Engineering
ETST001,Introduction to the Study of Race and Ethnicity,4,Ethnic Studies
ETST001H,Honors Introduction to the Study of Race and Ethnicity,4,Ethnic Studies
ETST002,Introduction to Chicano Studies in Comparative Perspective,4,Ethnic Studies
ETST002H,Honors Introduction to Chicano Studies in Comparative Perspective,4,Ethnic Studies
ETST003,Introduction to African American Studies in Comparative Perspective,4,Ethnic Studies
ETST004,Introduction to Chicano History,4,Ethnic Studies
ETST005,Introduction to Asian American Studies in Comparative Perspective,4,Ethnic Studies
ETST005H,Honors Introduction to Asian American Studies in Comparative Perspective,4,Ethnic Studies
ETST007,Introduction to Native American Studies in Comparative Perspective,4,Ethnic Studies
ETST007H,Honors Introduction to Native American Studies in Comparative Perspective,4,Ethnic Studies
ETST008,Introduction to Chicano Cultural Studies,4,Ethnic Studies
ETST011,Language and Ethnicity in the USA,4,Ethnic Studies
ETST012,Religious Myths and Rituals,4,Ethnic Studies
ETST012H,Honors Religious Myths and Rituals,4,Ethnic Studies
ETST014,Popular Musics of the World,4,Ethnic Studies
ETST098,Introduction to Arab/Muslim American Studies,4,Ethnic Studies
ETST100,Race and Ethnicity in A Comparative Perspective,4,Ethnic Studies
ETST101A,Historical Development of Race and Power,4,Ethnic Studies
ETST101B,Theories of Race and Power,4,Ethnic Studies
ETST102,The Political Economy of Race and Class,4,Ethnic Studies
ETST103,Histories of Chicano/A Education,4,Ethnic Studies
ETST105A,History of Black Americans: West African Backgrounds to 1877,4,Ethnic Studies
ETST105B,History of Black Americans: 1877-1965,4,Ethnic Studies
ETST106,Theory in Asian American Studies,4,Ethnic Studies
ETST108,(E-Z) Special Topics in Chicano Studies,4,Ethnic Studies
ETST109,(E-Z) Special Topics in African American Studies,4,Ethnic Studies
ETST109E,African Americans in the United States Economy,4,Ethnic Studies
ETST109I,"The Black Diaspora: Cultural, Political, and Historical Connections",4,Ethnic Studies
ETST109J,"Race, Gender, Power, Knowledge",4,Ethnic Studies
ETST109K,Blackness and Religion,4,Ethnic Studies
ETST110,(E-Z) Special Topics in Asian American Studies 1 to,4,Ethnic Studies
ETST111,Ethnic Politics: Practicum in Political Change,4,Ethnic Studies
ETST112,"The Civil Rights Movement, 1950-1970",4,Ethnic Studies
ETST113,Black Feminist Theory and Activism,4,Ethnic Studies
ETST114,Contemporary Latina Writing in the United States,4,Ethnic Studies
ETST115,(E-Z) Topics in Native American History,4,Ethnic Studies
ETST116,Medicine Ways of Native Americans,4,Ethnic Studies
ETST117,(E-Z) Themes and Topics in African History,4,Ethnic Studies
ETST118,American Indian Identities,4,Ethnic Studies
ETST119,Issues in Twentieth-Century and Contemporary Native American Art,4,Ethnic Studies
ETST120,Contemporary Native American Literature,4,Ethnic Studies
ETST121,California Native Cultures,4,Ethnic Studies
ETST123,Chicano Politics in Comparative Perspective,4,Ethnic Studies
ETST124,The Chicana,4,Ethnic Studies
ETST126,The Chicano and the Law,4,Ethnic Studies
ETST127,Latino Men and Masculinity,5,Ethnic Studies
ETST128,Chicano Sociology,4,Ethnic Studies
ETST128S,Chicano Sociology,5,Ethnic Studies
ETST129,Theories in Chicano Studies,4,Ethnic Studies
ETST130,History of Public Education in Communities of Color,4,Ethnic Studies
ETST131,"Race, Class, and Gender",4,Ethnic Studies
ETST132,Chicano Contemporary Issues,4,Ethnic Studies
ETST133,"Asian Diaspora: Historical, Contemporary, and Comparative Perspectives",4,Ethnic Studies
ETST136,The Korean American Experience,4,Ethnic Studies
ETST137,The Vietnamese Americans: the Refugee and Immigrant Experience,4,Ethnic Studies
ETST139,Contemporary Issues in the Asian American Community,4,Ethnic Studies
ETST140,Asian American Feminist Theory and Politics,4,Ethnic Studies
ETST141A,Black Literature I,4,Ethnic Studies
ETST141B,Black Literature II,4,Ethnic Studies
ETST143,"Critical Filipino(a) Studies: Histories and Legacies of United States Conquest, Colonialism,& Empire",4,Ethnic Studies
ETST144,Race and Indigeneity in Hawai’i,4,Ethnic Studies
ETST145,Law and Subordination,5,Ethnic Studies
ETST146,Educational Perspectives On the Chicano,4,Ethnic Studies
ETST147,History of Black Education,4,Ethnic Studies
ETST148,Caribbean Culture and Society,4,Ethnic Studies
ETST149,Political Violence in Mexico,4,Ethnic Studies
ETST151,Contemporary Asian American Literature,4,Ethnic Studies
ETST152,Asian American Film and Video,4,Ethnic Studies
ETST153,Native American Language Revitalization,4,Ethnic Studies
ETST154,Chicanos and Popular Music in the Twentieth-Century: From Pachuco Boogie to Latin Jazz,4,Ethnic Studies
ETST155,Chicana/O California: A Social and Cultural History,4,Ethnic Studies
ETST156,Politics of the Chicano Movement,4,Ethnic Studies
ETST157,Native American Diaspora,4,Ethnic Studies
ETST158,American Indian Intellectual Traditions,4,Ethnic Studies
ETST159,Texas Indian History,4,Ethnic Studies
ETST160,Community Research and Advocacy,4,Ethnic Studies
ETST161,"United States Latinos: Crossing Borders, Crossing Cultures",4,Ethnic Studies
ETST162,Learning Native American Languages,5,Ethnic Studies
ETST163,"(E-Z) Special Topics in Gender, Sexuality, and Race",4,Ethnic Studies
ETST163E,Introduction to Queer Studies,4,Ethnic Studies
ETST164,History of African American Education: 1950-Present,4,Ethnic Studies
ETST165,"Latinos, Asylum, and Migrant Detention",4,Ethnic Studies
ETST166,Issues in Bilingual/Bicultural Education,4,Ethnic Studies
ETST167,Psychological Development of Black Children,4,Ethnic Studies
ETST168,Psychological Aspects of the Black Experience,4,Ethnic Studies
ETST169,The Politics of Race and Performance,4,Ethnic Studies
ETST170,Third World Literature,4,Ethnic Studies
ETST171,Black Music,4,Ethnic Studies
ETST172,Music Cultures of Southeast Asia,4,Ethnic Studies
ETST173,Black Art in America,4,Ethnic Studies
ETST174,"Race, Law, and Education in the United States",4,Ethnic Studies
ETST175,"Gender, Ethnicity, and Borders",4,Ethnic Studies
ETST177,"The United States Prison Industrial Complex: Race, Gender, and Citizenship",4,Ethnic Studies
ETST178,Disability and Race,4,Ethnic Studies
ETST179,"Race and Environment: Nature, Colonialism, and Justice",4,Ethnic Studies
ETST180,California Indian History,4,Ethnic Studies
ETST181,Southwestern Indian History,4,Ethnic Studies
ETST182,Northwestern Indian History,4,Ethnic Studies
ETST183,Native American Oral Literature,4,Ethnic Studies
ETST184,American Indian Policy in the Twentieth-Century,4,Ethnic Studies
ETST185,Native American Law,4,Ethnic Studies
ETST187,Anticolonialist Thought,4,Ethnic Studies
ETST188,Native American Women,4,Ethnic Studies
ETST189,Popular Culture and the Production of Race,4,Ethnic Studies
ETST190,Special Studies 1 to,5,Ethnic Studies
ETST191,(E-Z) Seminar in Ethnic Studies,4,Ethnic Studies
ETST198,R’Course: Variable Topics,1,Ethnic Studies
ETST198G,Group Internship 1 to,12,Ethnic Studies
ETST198I,Individual Internship 1 to,12,Ethnic Studies
ETST200,History of Ideas in Ethnic Studies,4,Ethnic Studies
ETST201,Sociocultural Theories in Ethnic Studies,4,Ethnic Studies
ETST203,Research Methods in Ethnic Studies,4,Ethnic Studies
ETST204,Critical Race Perspectives in Latino Education,4,Ethnic Studies
ETST205,"Feminism, Race, and the Politics of Knowledge",4,Ethnic Studies
ETST215,Asylum Policy and Migrant Detention,4,Ethnic Studies
ETST221,"Race, Gender, Law, and Equal Protection",4,Ethnic Studies
ETST222,Intersectionalities,4,Ethnic Studies
ETST223,Chicana/O Expressive Culture: Theory and Practice,4,Ethnic Studies
ETST224,Race and State Violence,4,Ethnic Studies
ETST225,"Imperialism, Colonialism, and Racism: Global Historical Perspectives",4,Ethnic Studies
ETST226,Cultural Politics and Production,4,Ethnic Studies
ETST227,Anticolonialism and its Aftermath,4,Ethnic Studies
ETST228,"Race, Law, and Educational Policy",4,Ethnic Studies
ETST230,Gramscian Thought & Subaltern Struggles,4,Ethnic Studies
ETST231,Racial Capitalism and the Black Radical Tradition,4,Ethnic Studies
ETST232,"Race, Environment, Resistance",4,Ethnic Studies
ETST243,(E-Z) Special Topics in Ethnic Studies,4,Ethnic Studies
ETST243E,White Reconstruction,4,Ethnic Studies
ETST243F,"Race, Utopia, the Human in Sci-Fi",4,Ethnic Studies
ETST243G,Racial and Racial-Colonial Genocide,4,Ethnic Studies
ETST244,"Borders, Borderlands, and Chicana/O Studies",4,Ethnic Studies
ETST245,Theories in Chicana/O Studies,4,Ethnic Studies
ETST246,"Chicano Historiography: Identity, Politics, and the Writing of Chicana/O History",4,Ethnic Studies
ETST247,Policy and Politics: Grass Roots Versus Coercive State,4,Ethnic Studies
ETST248,Race and Critical Educational Policy,4,Ethnic Studies
ETST249,Race and Critical Educational Politics,4,Ethnic Studies
ETST254,Asian American Cultural Critique and Theory,4,Ethnic Studies
ETST255,Critical Issues in Asian American Studies,4,Ethnic Studies
ETST256,Critical Issues in Asian Pacific American Communities,4,Ethnic Studies
ETST289,Colloquium in Ethnic Studies,1,Ethnic Studies
ETST290,Directed Studies 1 to,6,Ethnic Studies
ETST291,Individual Study in Coordinated Areas 1 to,12,Ethnic Studies
ETST292,Concurrent Analytical Studies in Ethnic Studies 1 to,4,Ethnic Studies
ETST293,Research Topics in Ethnic Studies,2,Ethnic Studies
ETST297,Directed Research 1 to,2,Ethnic Studies
ETST299,Research For the Dissertation 1 to,12,Ethnic Studies
ETST302,Teaching Practicum 1 to,4,Ethnic Studies
ETST405,Proseminar On Professionalization,2,Ethnic Studies
EUR042,Italian Americans: Voices and Visions,4,European Studies
EUR043,Italian Cuisine and Literature Through the Centuries,4,European Studies
EUR044,Mafia and Malavita in Italian Literature and Film,4,European Studies
EUR047,Introduction to Russian Culture,4,European Studies
EUR048,Italian Culture and Civilization,4,European Studies
EUR111A,Survey of Russian Civilization,4,European Studies
EUR111B,Survey of Russian Civilization,4,European Studies
EUR111C,Survey of Russian Civilization,4,European Studies
EUR115,(E-Z) French Studies,4,European Studies
EUR115F,Paris,4,European Studies
EUR115M,Medieval Women in France,4,European Studies
EUR119,(E-Z) Topics in Italian Culture,4,European Studies
EUR120,"Berlin Metropolis in Literature, Film, Music, and Art",4,European Studies
EUR124,"Nordic Mythology, Folklore, and Fairytales",4,European Studies
EUR125,German Fairy Tales: From Brothers Grimm to Hollywood,4,European Studies
EUR137,"Passions, Apparitions, and Automata",4,European Studies
EUR139,The Divine Comedy,4,European Studies
EUR140,Italian Literature of the Holocaust in Translation,4,European Studies
EUR150,Italian Theatre,4,European Studies
EUR158,Italian Literature in the Period of Unification,4,European Studies
EUR185,Modern and Contemporary Italian Literature in Translation,4,European Studies
FIL001,First-Year Filipino,4,Filipino
FIL002,First-Year Filipino,4,Filipino
FIL003,First-Year Filipino,4,Filipino
FREN001,Introduction to French,4,Languages and Literatures/French
FREN002,Introduction to French,4,Languages and Literatures/French
FREN003,Introduction to French,4,Languages and Literatures/French
FREN004,Intermediate French,4,Languages and Literatures/French
FREN009A,French For Reading Knowledge,4,Languages and Literatures/French
FREN009B,French For Reading Knowledge,4,Languages and Literatures/French
FREN015A,Introduction to Literature and Culture,4,Languages and Literatures/French
FREN015B,Introduction to Literature and Culture,4,Languages and Literatures/French
FREN026,"Introduction to Literature, Film, and Art By French and Francophone Women",4,Languages and Literatures/French
FREN045,French Cinema,4,Languages and Literatures/French
FREN075,Oral Proficiency in French,4,Languages and Literatures/French
FREN090,Special Studies 1 to,3,Languages and Literatures/French
FREN100,Advanced Conversation,4,Languages and Literatures/French
FREN101A,Advanced French Studies,4,Languages and Literatures/French
FREN101B,Advanced French Studies,4,Languages and Literatures/French
FREN101C,Advanced French Studies,4,Languages and Literatures/French
FREN109,Main Currents in French Literature: Seventeenth- and Eighteenth- Centuries,4,Languages and Literatures/French
FREN112,"Mythology in French Literature, Film, and the Visual Arts",4,Languages and Literatures/French
FREN124,(E-Z) Gender in French Studies,4,Languages and Literatures/French
FREN130,Sports in French Literature and Cinema,4,Languages and Literatures/French
FREN132,Rousseau and Revolution,4,Languages and Literatures/French
FREN143,France and Asia in Literature and the Arts,4,Languages and Literatures/French
FREN148,(E-Z) French Literature of the City,4,Languages and Literatures/French
FREN150,(E-Z) Francophone Studies,4,Languages and Literatures/French
FREN152,Food and French Literature,4,Languages and Literatures/French
FREN153,Children in French Cinema,4,Languages and Literatures/French
FREN155,The Bande Dessinee: From Comics to Graphic Novels in French,4,Languages and Literatures/French
FREN156,"The Holocaust in French Film, Literature and Graphic Novels",4,Languages and Literatures/French
FREN160,The Fashion of Modernity,4,Languages and Literatures/French
FREN181,"Existentialism in Literature, Film, and Culture",4,Languages and Literatures/French
FREN190,Special Studies 1 to,5,Languages and Literatures/French
FREN195H,Senior Honor Thesis 1 to,4,Languages and Literatures/French
FREN290,Directed Studies 1 to,6,Languages and Literatures/French
FREN291,Individual Studies in Coordinated Areas 1 to,6,Languages and Literatures/French
FREN292,Concurrent Analytical Studies in French,2,Languages and Literatures/French
FREN299,Research For Thesis Or Dissertation 1 to,12,Languages and Literatures/French
GBST001,"Global History, Culture, and Ideas",5,Global Studies
GBST002,Global Socioeconomic and Political Processes,5,Global Studies
GBST003,Crossing Culture,1,Global Studies
GBST090,Special Studies 1 to,3,Global Studies
GBST100,Global Cities,4,Global Studies
GBST101,(E-Z) Special Topics in Global Issues,4,Global Studies
GBST102,Global Meditation Practices and the Contemplative Traditions of South Asia,4,Global Studies
GBST103,Food and Globalization,4,Global Studies
GBST104,Global Economic Crisis,4,Global Studies
GBST107,Non Western Political Thought,4,Global Studies
GBST110,Global Migrations and Movements,4,Global Studies
GBST115,Ethnography: Collaborative/ Activist Interdisciplinary Research,4,Global Studies
GBST130,Management of International Water,4,Global Studies
GBST140,"Haiti: Past, Present and Future",4,Global Studies
GBST148,Sound Studies and Sound Art,4,Global Studies
GBST169,From the Maghreb to the Middle East,4,Global Studies
GBST190,Special Studies 1 to,5,Global Studies
GBST191,Seminar in Global Studies,4,Global Studies
GBST193,Senior Seminar,4,Global Studies
GBST195A,Senior Thesis,4,Global Studies
GBST195B,Senior Thesis,4,Global Studies
GBST195C,Senior Thesis,4,Global Studies
GBST198I,Individual Internship in Global Studies 1 to,12,Global Studies
GBST302,Teaching Practicum 1 to,4,Global Studies
GDIV302,University Level Pedagogy Practicum,2,Graduate Division
GDIV403,Interdisciplinary Seminar: Research and Scholarship Ethics,1,Graduate Division
GDIV405,Entering Mentoring: Building A Solid Foundation For Mentors,2,Graduate Division
GEN203,Advanced Genetic Analysis in Model Organisms,4,Genetics
GEN206,Gene Silencing,3,Genetics
GEN209,Ribonucleic Acid Biology,3,Genetics
GEN220,Computational Analysis of High Throughput Biological Data,3,Genetics
GEN230,Molecular Plant-Microbial Interactions,3,Genetics
GEN234,Statistical Genomics,4,Genetics
GEN241,Advances in Bioinformatics and Genomics,4,Genetics
GEN242,Data Analysis in Genome Biology,4,Genetics
GEN261,"Seminar in Genetics, Genomics, and Bioinformatics",1,Genetics
GEN270,Introduction to Video Bioinformatics,3,Genetics
GEN272,Introduction to Imaging Bioinstrumentation and Analysis,2,Genetics
GEN273,Live Imaging and Analysis of Cellular and Molecular Behaviors,2,Genetics
GEN274,Introduction to Medical Imaging and Analysis,2,Genetics
GEN290,Directed Studies 1 to,6,Genetics
GEN292,"Concurrent Studies in Genetics, Genomics, and Bioinformatics 1 to",4,Genetics
GEN297,Directed Research 1 to,6,Genetics
GEN299,Research For the Dissertation 1 to,12,Genetics
GEO001,The Earth’s Crust and Interior,4,Geosciences
GEO002,Earth’s Climate Through Time,4,Geosciences
GEO003,Headlines in the History of Life,4,Geosciences
GEO004,Natural Hazards and Disasters,4,Geosciences
GEO005,Geoscience in Movies,4,Geosciences
GEO006,Planets in Science Fiction,4,Geosciences
GEO007,Minerals and Human Health,4,Geosciences
GEO008,Earthquake Country,4,Geosciences
GEO009,Oceanography,4,Geosciences
GEO009H,Honors Oceanography,4,Geosciences
GEO010,Earth Resources and Sustainability,4,Geosciences
GEO011,Global Climate Change,4,Geosciences
GEO011H,Honors Global Climate Change,4,Geosciences
GEO012,At Home in the Universe,4,Geosciences
GEO013,Our Planetary Neighbors: the Solar System and Beyond,4,Geosciences
GEO080,Astrobiology: the Search For Life in the Universe,4,Geosciences
GEO100,Igneous and Metamorphic Petrology,5,Geosciences
GEO101A,Field Geology,3,Geosciences
GEO101B,Field Geology,3,Geosciences
GEO102A,Summer Field Geology,8,Geosciences
GEO102B,Summer Field Geology,1,Geosciences
GEO111,Numerical Skills in Geoscience,4,Geosciences
GEO115,Geologic Maps and Landforms,5,Geosciences
GEO116,Structural Geology,5,Geosciences
GEO118,Sedimentology and Stratigraphy,5,Geosciences
GEO122,Mineralogy,5,Geosciences
GEO123,Analytical Mineralogy,5,Geosciences
GEO124,Advanced Petrogenesis,4,Geosciences
GEO132,Groundwater Geology,4,Geosciences
GEO136,Introduction to Molecular and Petroleum Geochemistry,4,Geosciences
GEO137,Geochemistry of Natural Waters,4,Geosciences
GEO138,Pedology,4,Geosciences
GEO139,Soils and Landforms of California,1,Geosciences
GEO140,Global Geophysics,4,Geosciences
GEO144,Earthquake Seismology,4,Geosciences
GEO145,Applied and Exploration Geophysics,4,Geosciences
GEO147,Active Tectonics and Remote Sensing,4,Geosciences
GEO150,Your Future in the Earth and Planetary Sciences,1,Geosciences
GEO151,Principles of Paleontology,4,Geosciences
GEO152,Principles of Invertebrate Paleobiology and Paleoecology,4,Geosciences
GEO157,Introduction to Geographical Information Science,4,Geosciences
GEO158,Advanced Geographic Information System,4,Geosciences
GEO160,Global Climate Change,4,Geosciences
GEO161,Cenozoic Climate Change,4,Geosciences
GEO162,Geomorphology,4,Geosciences
GEO163,Global Physical Climatology,4,Geosciences
GEO167,Conservation Biogeography,4,Geosciences
GEO169,California Vegetation,4,Geosciences
GEO180,Exoplanetary Science Detection Tech,4,Geosciences
GEO181,Exoplanetary Science Characterization,4,Geosciences
GEO182,Planetary Astrobiology For Science Majors,4,Geosciences
GEO184,Planetary Atmospheres,4,Geosciences
GEO190,Special Studies 1 to,5,Geosciences
GEO191,Undergraduate Seminar in Geological Sciences,1,Geosciences
GEO195A,Senior Thesis 3 to,5,Geosciences
GEO195B,Senior Thesis 3 to,5,Geosciences
GEO195C,Senior Thesis 3 to,5,Geosciences
GEO198I,Independent Internship 1 to,12,Geosciences
GEO201A,Research and Proposal Design,2,Geosciences
GEO201B,Proposal Writing and Review,2,Geosciences
GEO203,Mineral Equilibria,4,Geosciences
GEO205,Geohydrology,4,Geosciences
GEO206A,Stratigraphy,4,Geosciences
GEO206B,Stratigraphy,4,Geosciences
GEO212,Ecological Systems in Space and Time,4,Geosciences
GEO219,Theory of Systematics,4,Geosciences
GEO221,Electron Microscopy and Microanalysis,4,Geosciences
GEO223,Seminar in Geobiology,1,Geosciences
GEO224,Sierran Studies: the Paleoclimate Record of the Sierra,4,Geosciences
GEO225A,Geology of Carbonate Rocks,4,Geosciences
GEO225B,Geology of Detrital Rocks,4,Geosciences
GEO240,Seminar in Earthquake Processes and Geophysics,1,Geosciences
GEO241,Advanced Field Geophysics,14,Geosciences
GEO242,Numerical Methods and Modeling in the Geosciences,4,Geosciences
GEO243A,Earthquake Physics,4,Geosciences
GEO243B,Earthquake Physics,4,Geosciences
GEO244,Space Geodesy,4,Geosciences
GEO247,"Structure, Composition and Evolution of the Solid Earth",4,Geosciences
GEO248,Modern Field & Visualization Methods,4,Geosciences
GEO249,Tectonic Geomorphology and Quaternary Field Techniques,4,Geosciences
GEO250,Graduate Seminar in Geological Sciences,1,Geosciences
GEO251,(E-Z) Advanced Topics in Paleontology 3 to,5,Geosciences
GEO251I,Advanced Topics in Invertebrate Paleontology 3 to,5,Geosciences
GEO252,Marine Paleoecology,3,Geosciences
GEO253,Advanced Topics in Petrology and Geochemistry 3 to,5,Geosciences
GEO254,Topics in Paleobiology,1,Geosciences
GEO255,Advanced Topics in Sedimentary Petrology,4,Geosciences
GEO256,Data Analysis For Geoscientists,4,Geosciences
GEO257,(E-Z) Advanced Topics in Geophysics,4,Geosciences
GEO257E,Geomagnetic Fields,4,Geosciences
GEO257G,Earthquake Prediction,4,Geosciences
GEO257H,Finite Element Methods,4,Geosciences
GEO257I,Inversion Theories,4,Geosciences
GEO257K,Rock Mechanics,4,Geosciences
GEO259,Tectonics of California,4,Geosciences
GEO260,Global Climate Change,4,Geosciences
GEO261,"Atmosphere, Ocean and Climate Dynamics Seminar",1,Geosciences
GEO262,Precambrian Geology,5,Geosciences
GEO263,Organic and Petroleum Geochemistry,4,Geosciences
GEO264,Biogeochemical Cycles Through Time,3,Geosciences
GEO265,Special Topics in Earth and Environmental Sciences 1 to,3,Geosciences
GEO266,A Practical Introduction to Earth System Modeling and Dynamics,4,Geosciences
GEO267,Physical Oceanography,4,Geosciences
GEO268,Seminar in Biogeography,4,Geosciences
GEO269,Geophysical Fluid Dynamics,4,Geosciences
GEO270,Fundamentals of Digital Signal Processing in Geosciences,4,Geosciences
GEO271,Global Seismology,4,Geosciences
GEO272,Array Seismology,4,Geosciences
GEO280,Planetary Habitability,4,Geosciences
GEO283,Graduate Seminar in Astrobiology,1,Geosciences
GEO284,Planetary Atmospheres,4,Geosciences
GEO290,Directed Studies 1 to,6,Geosciences
GEO297,Directed Research 1 to,6,Geosciences
GEO299M,Research For Master’s Thesis 1 to,12,Geosciences
GEO299P,Research For Dissertation 1 to,12,Geosciences
GEO301,Teaching of Geosciences at the College Level,1,Geosciences
GEO302,Teaching Practicum 1 to,4,Geosciences
GER001,Elementary German,4,Unknown
GER001R,German For Reading Knowledge,4,Unknown
GER002,Elementary German,4,Unknown
GER002R,German For Reading Knowledge,4,Unknown
GER003,Elementary German,4,Unknown
GER004,Intermediate German,4,Unknown
GER010A,Accelerated German,6,Unknown
GER010B,Accelerated German,6,Unknown
GER045,Introduction to German Cinema,4,Unknown
GER046,Representing the Holocaust in Words and Images,4,Unknown
GER090,Special Studies 1 to,3,Unknown
GER100,Introduction to German Literature,4,Unknown
GER101,German Conversation,4,Unknown
GER102,Contemporary German Cinema For Conversation,4,Unknown
GER103A,Advanced Composition and Conversation,4,Unknown
GER103B,Advanced Composition and Conversation,4,Unknown
GER104,Intro to German Cultural History For Conversation,4,Unknown
GER107,German Drama in Translation: Theater of Revolution / Theater as Revolution,4,Unknown
GER108,The Art of Translation,4,Unknown
GER111,"Berlin Metropolis in Literature, Film, Music, and Art",4,Unknown
GER118,(E-Z) Topics in German Cinema,4,Unknown
GER118E,Weimar Cinema and After,4,Unknown
GER118F,The Cinema of Fritz Lang,4,Unknown
GER118G,Film and the Holocaust,4,Unknown
GER119,Vienna in Film,4,Unknown
GER124,"Nordic Mythology, Folklore, and Fairytales",4,Unknown
GER125,German Fairy Tales: From Brothers Grimm to Hollywood,4,Unknown
GER126,From Novel to Screen: Film Adaptations of German Literature,4,Unknown
GER131,"Marx, Nietzsche, Freud",4,Unknown
GER132,Rousseau and Revolution,4,Unknown
GER134,Cinematic War Memory,4,Unknown
GER136,The Enlightenment and its Consequences: Modern Europe in the Arts,4,Unknown
GER137,"Passions, Apparitions, and Automata",4,Unknown
GER163,Modern German History Through Film,4,Unknown
GER172,Reading Philosophical German,4,Unknown
GER173,The Age of Goethe,4,Unknown
GER185,Currents in Modern German Literature,4,Unknown
GER190,Special Studies 1 to,5,Unknown
GER290,Directed Studies 1 to,6,Unknown
GER291,Individual Studies in Coordinated Areas 1 to,6,Unknown
GER292,Concurrent Analytical Studies,2,Unknown
GER299,Research For Thesis Or Dissertation 1 to,12,Unknown
GER302,Teaching Practicum 1 to,4,Unknown
GNBT110,Advanced Genetics,4,Genetics and Biotechnology
GNBT114,Molecular Genetics Laboratory,4,Genetics and Biotechnology
GNBT120,Analysis of Genomes Laboratory,4,Genetics and Biotechnology
GNBT130,Genomes: Structure and Evolution,4,Genetics and Biotechnology
GRK001,Introduction to Classical Greek,4,Greek
GRK002,Introduction to Classical Greek,4,Greek
GRK003,Introduction to Classical Greek,4,Greek
GRK010,Classical Greek: An Intensive Course,14,Greek
GRK101,(E-Z) Advanced Greek Reading and Grammar,4,Greek
GRK107,Plato,4,Greek
GRK141,The Pre-Socratics,4,Greek
GRK190,Special Studies 1 to,5,Greek
GRK292,Concurrent Analytical Studies,2,Greek
GSST001,Gender and Sexuality,4,Gender and Sexuality Studies
GSST001H,Honors Gender and Sexuality,4,Gender and Sexuality Studies
GSST001S,Gender and Sexuality,5,Gender and Sexuality Studies
GSST010,Women and Culture,5,Gender and Sexuality Studies
GSST010S,Women and Culture,5,Gender and Sexuality Studies
GSST011,Media Imagery of Women and Class,4,Gender and Sexuality Studies
GSST012,Islam and Feminism,4,Gender and Sexuality Studies
GSST012H,Honors Islam and Feminism,4,Gender and Sexuality Studies
GSST013,Gender and Disability,4,Gender and Sexuality Studies
GSST013S,Gender and Disability,5,Gender and Sexuality Studies
GSST016,Sexuality and Religion in Global Perspective,4,Gender and Sexuality Studies
GSST016H,Honors Sexuality and Religion in Global Perspective,4,Gender and Sexuality Studies
GSST020,"Women, Feminism, and Society in A Global Perspective",4,Gender and Sexuality Studies
GSST020H,"Honors Women, Feminism, and Society in A Global Perspective",4,Gender and Sexuality Studies
GSST020S,"Women, Feminism, and Society in A Global Perspective",5,Gender and Sexuality Studies
GSST021,Gender and Sustainability,5,Gender and Sexuality Studies
GSST022A,Introduction to World Literature By Women,4,Gender and Sexuality Studies
GSST022B,Introduction to World Literature By Women,4,Gender and Sexuality Studies
GSST026,"Introduction to Literature, Film, and Art By French and Francophone Women",4,Gender and Sexuality Studies
GSST030,Violence Against Women,4,Gender and Sexuality Studies
GSST030H,Violence Against Women,4,Gender and Sexuality Studies
GSST030S,Violence Against Women,5,Gender and Sexuality Studies
GSST031H,Latina Women in Literature and Culture,4,Gender and Sexuality Studies
GSST040,"Women, Aids, and the Global Economy",4,Gender and Sexuality Studies
GSST099,Reading and Writing in Gender & Sexuality Studies,4,Gender and Sexuality Studies
GSST100,Gender Theory,4,Gender and Sexuality Studies
GSST100S,Gender Theory,5,Gender and Sexuality Studies
GSST101,"Women, Work, and Capitalism",4,Gender and Sexuality Studies
GSST103,Sexualities and Culture,4,Gender and Sexuality Studies
GSST104,"Witches, Magic, and Religion",4,Gender and Sexuality Studies
GSST105,"Women, Race, and Violence: Intersectionalist and Transnational Perspectives",4,Gender and Sexuality Studies
GSST106,Feminist Bioethics,4,Gender and Sexuality Studies
GSST107,"Feminisms, Race, and Antiracisms: Critical Theories and Intersectional Perspectives",4,Gender and Sexuality Studies
GSST108,Philosophical Issues of Race and Gender,4,Gender and Sexuality Studies
GSST109,"Women, Politics, and Social Movements",4,Gender and Sexuality Studies
GSST110,"Gender, Sexuality, and Islam",4,Gender and Sexuality Studies
GSST112,History of Queer Cinema,4,Gender and Sexuality Studies
GSST113,Queer Theory,4,Gender and Sexuality Studies
GSST122,Gender in Southeast Asian Diasporic Literature and Film,5,Gender and Sexuality Studies
GSST123,Transnational Feminist Film and Media,4,Gender and Sexuality Studies
GSST124,Asian American Women: Writing the Self in Literature and Film,4,Gender and Sexuality Studies
GSST125,Gender and Genocide,4,Gender and Sexuality Studies
